time	best_bid	best_ask
949.004	15.04	15.05
949.104	15.04	15.05
949.205	15.04	15.05
949.304	15.04	15.05
949.405	15.04	15.05
949.506	15.04	15.05
949.604	15.04	15.05
949.704	15.04	15.05
950.205	15.04	15.05
950.604	15.04	15.05
950.807	15.04	15.05
950.907	15.04	15.05
951.005	15.04	15.05
951.105	15.04	15.05
951.206	15.04	15.05
951.505	15.04	15.05
952.506	15.04	15.05
952.606	15.04	15.05
952.706	15.04	15.05
953.007	15.04	15.05
953.106	15.04	15.05
953.206	15.04	15.05
954.006	15.05	15.06
954.108	15.05	15.06
954.208	15.05	15.06
954.307	15.05	15.06
954.409	15.05	15.06
954.507	15.05	15.06
954.607	15.05	15.06
954.708	15.05	15.06
954.807	15.05	15.06
954.909	15.05	15.06
955.107	15.05	15.06
955.209	15.05	15.06
955.407	15.05	15.06
955.507	15.05	15.06
955.706	15.05	15.06
956.109	15.05	15.06
956.21	15.05	15.06
956.809	15.05	15.06
956.91	15.05	15.06
957.01	15.05	15.06
957.109	15.05	15.06
957.208	15.05	15.06
958.109	15.05	15.06
958.209	15.05	15.06
958.309	15.05	15.06
959.11	15.05	15.06
959.21	15.05	15.06
959.31	15.05	15.06
959.409	15.05	15.06
959.611	15.05	15.06
959.912	15.05	15.06
960.01	15.06	15.07
960.113	15.06	15.07
960.212	15.06	15.07
960.312	15.06	15.07
960.415	15.06	15.07
960.513	15.06	15.07
960.611	15.06	15.07
960.911	15.06	15.07
961.011	15.06	15.07
961.111	15.06	15.07
961.21	15.06	15.07
961.412	15.06	15.07
961.511	15.06	15.07
961.912	15.06	15.07
962.011	15.06	15.07
962.112	15.06	15.07
962.211	15.06	15.07
962.311	15.06	15.07
962.411	15.06	15.07
962.512	15.06	15.07
962.612	15.06	15.07
962.712	15.06	15.07
962.811	15.06	15.07
962.913	15.06	15.07
963.012	15.06	15.07
963.112	15.06	15.07
963.212	15.06	15.07
963.312	15.06	15.07
963.411	15.06	15.07
963.512	15.06	15.07
963.612	15.06	15.07
964.011	15.06	15.07
964.111	15.06	15.07
964.413	15.06	15.07
964.514	15.06	15.07
964.613	15.06	15.07
964.713	15.06	15.07
964.812	15.06	15.07
964.913	15.06	15.07
965.412	15.06	15.07
965.513	15.06	15.07
965.613	15.06	15.07
965.714	15.06	15.07
966.113	15.06	15.07
966.214	15.06	15.07
966.317	15.06	15.07
966.413	15.06	15.07
966.614	15.06	15.07
967.014	15.06	15.07
967.214	15.06	15.07
967.314	15.06	15.07
967.413	15.06	15.07
967.514	15.06	15.07
967.614	15.06	15.07
967.714	15.06	15.07
968.115	15.06	15.07
968.214	15.06	15.07
968.314	15.06	15.07
969.215	15.06	15.07
969.316	15.06	15.07
969.616	15.06	15.07
969.715	15.06	15.07
969.918	15.06	15.07
970.015	15.06	15.07
970.116	15.06	15.07
970.216	15.06	15.07
970.817	15.06	15.07
970.916	15.06	15.07
971.117	15.06	15.07
971.217	15.06	15.07
971.317	15.06	15.07
971.417	15.06	15.07
971.617	15.06	15.07
972.017	15.06	15.07
972.117	15.06	15.07
972.217	15.06	15.07
972.317	15.06	15.07
972.417	15.06	15.07
972.518	15.06	15.07
972.617	15.06	15.07
973.318	15.06	15.07
973.917	15.06	15.07
974.018	15.06	15.07
974.118	15.06	15.07
974.318	15.06	15.07
974.518	15.06	15.07
974.617	15.06	15.07
974.719	15.06	15.07
974.818	15.06	15.07
975.32	15.06	15.07
975.421	15.06	15.07
975.519	15.06	15.07
976.32	15.06	15.07
976.719	15.06	15.07
977.121	15.06	15.07
977.22	15.06	15.07
977.32	15.06	15.07
977.421	15.06	15.07
977.52	15.06	15.07
977.621	15.06	15.07
977.82	15.06	15.07
977.919	15.06	15.07
978.221	15.06	15.07
978.32	15.06	15.07
978.52	15.06	15.07
978.623	15.06	15.07
978.722	15.06	15.07
978.821	15.06	15.07
979.023	15.06	15.07
979.12	15.06	15.07
979.521	15.06	15.07
979.621	15.06	15.07
979.72	15.06	15.07
980.021	15.06	15.07
980.121	15.06	15.07
980.522	15.06	15.07
981.021	15.06	15.07
